italian,english
che,who / that / which (relative) / what (interrogative)
cui,whom / which (relative)
chi,whoever / the person who / who / whom (interrogative)
il quale,who / which (formal masculine singular)
la quale,who / which (formal feminine singular)
i quali,who / which (formal masculine plural)
le quali,who / which (formal feminine plural)
quello che,what / that which
ciò che,what / that which
che cosa,what (interrogative)
cosa,what (interrogative)
quale,which / which one (interrogative)
quali,which ones (interrogative)
quanto,how much (interrogative masculine)
quanta,how much (interrogative feminine)
quanti,how many (interrogative masculine)
quante,how many (interrogative feminine)
qualcuno,someone (masculine)
qualcuna,someone (feminine)
qualcosa,something
chiunque,anyone / whoever
ognuno,everyone / each one (masculine)
ognuna,everyone / each one (feminine)
tutti,everyone / all (masculine)
tutte,everyone / all (feminine)
nessuno,no one / nobody (masculine)
nessuna,no one / nobody (feminine)
niente,nothing
nulla,nothing
altro,another (masculine singular)
altra,another (feminine singular)
altri,others (masculine plural)
altre,others (feminine plural)
molti,many (masculine)
molte,many (feminine)
pochi,few (masculine)
poche,few (feminine)
alcuni,some (masculine)
alcune,some (feminine)
ciascuno,each one (masculine)
ciascuna,each one (feminine)
entrambi,both (masculine)
entrambe,both (feminine)
uno,one / someone (masculine)
una,one / someone (feminine)
questo,this one (masculine singular demonstrative)
questa,this one (feminine singular demonstrative)
questi,these ones (masculine plural demonstrative)
queste,these ones (feminine plural demonstrative)
quello,that one (masculine singular demonstrative)
quella,that one (feminine singular demonstrative)
quelli,those ones (masculine plural demonstrative)
quelle,those ones (feminine plural demonstrative)
costui,this man / this person (masculine)
costei,this woman / this person (feminine)
costoro,these people
colui,that man / the one who (masculine)
colei,that woman / the one who (feminine)
coloro,those people / those who
stesso,same one / oneself (masculine singular)
stessa,same one / oneself (feminine singular)
stessi,same ones / themselves (masculine plural)
stesse,same ones / themselves (feminine plural)
medesimo,same one (masculine singular formal)
medesima,same one (feminine singular formal)
medesimi,same ones (masculine plural formal)
medesime,same ones (feminine plural formal)
tale,such a person / that person
tali,such people / those people
tutto,everything / all (masculine singular)
tutta,all (feminine singular)
molto,much / a lot (masculine singular)
molta,much / a lot (feminine singular)
poco,little / not much (masculine singular)
poca,little / not much (feminine singular)
troppo,too much (masculine singular)
troppa,too much (feminine singular)
troppi,too many (masculine plural)
troppe,too many (feminine plural)
tanto,so much (masculine singular)
tanta,so much (feminine singular)
tanti,so many (masculine plural)
tante,so many (feminine plural)
parecchio,quite a lot (masculine singular)
parecchia,quite a lot (feminine singular)
parecchi,quite a lot (masculine plural)
parecchie,quite a lot (feminine plural)
alquanto,somewhat / a fair amount (masculine singular)
alquanta,somewhat / a fair amount (feminine singular)
alquanti,a fair number (masculine plural)
alquante,a fair number (feminine plural)
altrettanto,just as much (masculine singular)
altrettanta,just as much (feminine singular)
altrettanti,just as many (masculine plural)
altrettante,just as many (feminine plural)
alcunché,anything / something
qualunque,whichever / any
qualsiasi,whichever / any
qualsivoglia,whichever / any (literary)
certo,a certain one (masculine singular)
certa,a certain one (feminine singular)
certi,certain ones (masculine plural)
certe,certain ones (feminine plural)
diversi,several (masculine plural)
diverse,several (feminine plural)
vari,various (masculine plural)
varie,various (feminine plural)
taluno,someone / some (masculine singular literary)
taluna,someone / some (feminine singular literary)
taluni,some people (masculine plural literary)
talune,some people (feminine plural literary)
alcuno,anyone (masculine singular)
alcuna,anyone (feminine singular)
l'uno e l'altro,both / each one
l'una e l'altra,both / each one (feminine)
né l'uno né l'altro,neither one (masculine)
né l'una né l'altra,neither one (feminine)
